Comment,Designator,Footprint,LCSC Part #
"33k","R120","R0603","C4216"
"32.768 kHz","Y101","SMD2012","C99009"
"20 MHz","Y102","SMD5032","C112566"
"18p","C132, C136","C0402","C1549"
"12p","C115, C116","C0402","C1547"
"10n","C202, C208, C209, C210, C211, C212, C213, C214, C215, C756, C757, C760, C764, C768, C769, C428","C0402","C15195"
"10k","R102, R107, R108, R109, R121, R124, R126, R127, R128, R132, R135, R136, R137, R138, R139, R141, R142, R228, R229, R230, R231, R232, R233, R234, R235, R246, R247, R248, R249, R250, R251, R252, R253, R604, R605, R613, R614, R618, R619, R625, R757, R762, R763, R767, R768, R421, R426, R427","R0402","C25744"
"10k","R129, R130, R140","R0603-4","C29718"
"10","R110, R111, R112, R113, R114, R115, R116, R117, R606, R761, R764, R769","R0402","C25077"
"5.1k","R195","R0402","C25905"
"4.7u","C102, C103, C104, C106, C107, C137, C138, C140","C0402","C23733"
"4.7k","R125, R180, R181, R185, R186, R190, R191, R196, R197, R200, R218, R227, R245","R0603-4","C66697"
"4.7k","R144, R203, R204, R207, R208, R219, R220, R223, R224, R428","R0402","C25900"
"2.2u","C114, C131, C223, C224, C229","C0402","C12530"
"2.2k","R122, R123, R146, R147, R751","R0402","C25879"
"1u","C123, C133","C0603","C519560"
"1n","C135, C139, C141, C142, C143, C144, C145, C146, C200, C201, C203, C225, C226, C227, C228, C751","C0402","C1523"
"0","R143, R145, R148","R0402","C17168"
"1u","C600, C607, C609, C610, C611, C755, C758, C761, C762, C763, C765, C766, C767, C414, C415","C0402","C52923"
"33n","C603","C0402","C1585"
"4.7u","C616, C427","C0603","C19666"
"1k","R600, R601, R616, R617, R622, R626, R627, R628, R765, R766","R0402","C11702"
"68k","R602, R603, R760, R422","R0402","C36871"
"22k","R607","R0402","C25768"
"47","R608","R0402","C25118"
"61.9","R609","R0603","C23092"
"20k","R610, R611, R612","R0402","C25765"
"100k","R615, R621, R755, R756, R758, R759, R471, R473","R0402","C25741"
"27k","R620, R623","R0402","C25771"
"3.3k","R624","R0402","C25890"
"AD8628","U601","TSOT23-5","C29309"
"XC6206P332MR","U604","SOT-23","C5446"
"1n","C771","C0603","C1588"
"22u","C773","C0603","C59461"
"4.7k","R771, R772, R773, R774","R1206","C17936"
"10k","R776, R777","R0603","C25804"
"MAX9924UAUB+","U771","MSOP-10_3x3mm_P0.5mm","C143633"
"470n","C752","C0402","C47339"
"10k","R752, R753","R0805","C17414"
"12k","R754, R472, R423","R0402","C25752"
"74AHC1G02","U752, U757","SOT23-5","C7463"
"MAX9142","U754","SO8","C18567"
"NC7SB3157P6X","U755, U756","SOT-363","C87403"
"100n","C470, C411, C413, C420","C0402","C307331"
"3.3n","C471","C0402","C26404"
"330p","C472","C0402","C13533"
"47p","C473","C0402","C1567"
"680p","C474","C0603","C1630"
"470k","R470","R0402","C25790"
"33k","R474, R411, R424, R425","R0402","C25779"
"LMV321IDBVR","U470, U471","SOT23-5","C7972"
"47u","C410, C412","C1206","C96123"
"10u","C421, C422, C423, C424, C425","C0603","C96446"
"47u","C426","C0603","C140782"
"220p","C429","C0402","C1530"
"1N4148WS","D410, D412, D413, D414","SOD-323","C2128"
"BAS416","D415","SOD-323","C968040"
"PSM712-LF","D411","SOT-23","C32677"
"SMCJ30A","D418","SMC","C310046"
"SS34","D420","SMA","C8678"
"MHT136UGCT","LED1, LED2, LED3, LED4","LED0402","C434447"
"6.8k","R410, R413","R0402","C25917"
"1","R420","R0402","C25086"
"TLS115","U411","PG-DSO-8 EP","C540242"
"STM32F429IGT6 ","U105","LQFP176","C54328"
"MWSA0503S-100MT","L421","SMD-5.2x5.4x2.8","C408412"
"LBC3225T2R2MR","L420","1210","C223413"
"AP2331W-7","U103, U480","SOT-23","C460346"
"LMR14030","U420","SOP8","C182078"
"LP2981-33DBVR","U410","SOT-23-5","C129997"
"ZXMS6005SGTA","Q305, Q306, Q307, Q308, Q309, Q310, Q311, Q312","SOT-223","C174042"
"nSMD050-24V","F410, F300","F1206","C70076"
"74LVC4245APW,118","U460","TSSOP-24","C6091"
"620","R133","R0603","C23220"
"4700","R134","R0603","C23162"
